<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YBST.US,5,20251217,153500,25.379,25.38,25.373,25.3799,2000,0
YBST.US,5,20251217,154500,25.2,25.2,25.2,25.2,100,0
YBST.US,5,20251217,161500,25.1973,25.1973,25.1973,25.1973,100,0
YBST.US,5,20251217,163500,25.21,25.21,25.21,25.21,200,0
YBST.US,5,20251217,171000,25.0391,25.0391,25.0391,25.0391,3000,0
YBST.US,5,20251217,172500,24.8987,24.906,24.8987,24.906,200,0
YBST.US,5,20251217,173500,24.89,24.89,24.89,24.89,200,0
YBST.US,5,20251217,174000,24.88,24.88,24.88,24.88,100,0
YBST.US,5,20251217,182000,24.96,24.96,24.96,24.96,100,0
YBST.US,5,20251217,183500,24.9596,24.9596,24.9596,24.9596,360,0
YBST.US,5,20251217,184000,24.94,24.97,24.94,24.97,600,0
YBST.US,5,20251217,190000,24.93,24.93,24.93,24.93,100,0
YBST.US,5,20251217,191500,24.9,24.9,24.88,24.88,300,0
YBST.US,5,20251217,200000,24.7791,24.7791,24.7791,24.7791,160,0
YBST.US,5,20251217,203000,24.73,24.73,24.73,24.73,100,0
YBST.US,5,20251217,203500,24.7,24.7,24.7,24.7,100,0
YBST.US,5,20251217,204500,24.7095,24.7095,24.7095,24.7095,200,0
YBST.US,5,20251217,210500,24.7,24.7,24.7,24.7,100,0
YBST.US,5,20251217,212000,24.71,24.72,24.71,24.72,1300,0
YBST.US,5,20251217,212500,24.71,24.73,24.69,24.69,1471,0
YBST.US,5,20251217,213000,24.67,24.68,24.67,24.68,200,0
YBST.US,5,20251217,213500,24.67,24.67,24.67,24.67,100,0
YBST.US,5,20251217,214500,24.66,24.66,24.66,24.66,100,0
YBST.US,5,20251217,215500,24.645,24.645,24.64,24.64,600,0
YBST.US,5,20251218,153000,24.94,25.0328,24.94,25.0328,205,0
YBST.US,5,20251218,153500,25.025,25.025,25.025,25.025,200,0
YBST.US,5,20251218,154000,24.893,24.97,24.893,24.97,2493,0
YBST.US,5,20251218,154500,24.8766,24.8766,24.8766,24.8766,100,0
YBST.US,5,20251218,155000,24.89,24.95,24.89,24.9132,834,0
YBST.US,5,20251218,160000,24.9273,24.94,24.9273,24.94,200,0
YBST.US,5,20251218,160500,24.92,24.92,24.91,24.91,1327,0
YBST.US,5,20251218,164000,25.08,25.08,25.08,25.08,100,0
YBST.US,5,20251218,165500,25.01,25.01,25.01,25.01,100,0
YBST.US,5,20251218,170000,24.98,24.98,24.98,24.98,100,0
YBST.US,5,20251218,170500,24.9451,24.9451,24.9451,24.9451,100,0
YBST.US,5,20251218,171000,24.98,24.98,24.945,24.9534,511,0
YBST.US,5,20251218,171500,24.95,24.95,24.95,24.95,100,0
YBST.US,5,20251218,172500,24.91,24.93,24.9,24.9,1100,0
YBST.US,5,20251218,180000,24.94,24.94,24.92,24.92,200,0
YBST.US,5,20251218,181000,24.84,24.85,24.84,24.85,200,0
YBST.US,5,20251218,190500,24.91,24.91,24.91,24.91,100,0
YBST.US,5,20251218,193000,24.92,24.92,24.92,24.92,100,0
YBST.US,5,20251218,194000,24.93,24.93,24.93,24.93,173,0
YBST.US,5,20251218,195000,24.9,24.9,24.9,24.9,272,0
YBST.US,5,20251218,200000,24.89,24.89,24.88,24.88,200,0
YBST.US,5,20251218,200500,24.86,24.86,24.86,24.86,200,0
YBST.US,5,20251218,201500,24.84,24.84,24.805,24.805,300,0
YBST.US,5,20251218,202500,24.83,24.83,24.83,24.83,100,0
YBST.US,5,20251218,204500,24.77,24.77,24.77,24.77,100,0
YBST.US,5,20251218,205500,24.74,24.75,24.74,24.75,1200,0
YBST.US,5,20251218,210000,24.76,24.76,24.76,24.76,100,0
YBST.US,5,20251218,211000,24.82,24.86,24.7883,24.7883,1099,0
YBST.US,5,20251218,211500,24.84,24.84,24.79,24.79,200,0
YBST.US,5,20251218,213000,24.83,24.83,24.83,24.83,100,0
YBST.US,5,20251218,214500,24.84,24.84,24.81,24.81,600,0
YBST.US,5,20251219,153000,24.94,24.94,24.94,24.94,475,0
YBST.US,5,20251219,153500,25.005,25.005,24.95,24.95,495,0
YBST.US,5,20251219,154000,25.04,25.04,24.995,24.995,500,0
YBST.US,5,20251219,155000,25.0348,25.0775,25.0348,25.055,419,0
YBST.US,5,20251219,155500,25.068,25.12,25.068,25.12,651,0
YBST.US,5,20251219,160500,25.1,25.1,25.09,25.09,251,0
YBST.US,5,20251219,161000,25.089,25.089,25.089,25.089,251,0
YBST.US,5,20251219,161500,25.08,25.08,25.08,25.08,100,0
YBST.US,5,20251219,162500,25.08,25.09,25.07,25.07,400,0
YBST.US,5,20251219,165000,25.09,25.09,25.08,25.085,494,0
YBST.US,5,20251219,171500,25.1886,25.1886,25.1886,25.1886,196,0
YBST.US,5,20251219,173000,25.23,25.23,25.23,25.23,100,0
YBST.US,5,20251219,173500,25.22,25.23,25.22,25.23,200,0
YBST.US,5,20251219,175000,25.19,25.19,25.16,25.16,200,0
YBST.US,5,20251219,175500,25.14,25.14,25.14,25.14,200,0
YBST.US,5,20251219,180000,25.16,25.16,25.16,25.16,100,0
YBST.US,5,20251219,182000,25.2,25.23,25.2,25.23,355,0
YBST.US,5,20251219,182500,25.21,25.21,25.21,25.21,1000,0
YBST.US,5,20251219,183000,25.215,25.215,25.21,25.21,1200,0
YBST.US,5,20251219,184000,25.143,25.143,25.143,25.143,200,0
YBST.US,5,20251219,185000,25.2,25.23,25.1999,25.23,2000,0
YBST.US,5,20251219,185500,25.21,25.23,25.1899,25.19,12500,0
YBST.US,5,20251219,190000,25.19,25.19,25.1866,25.19,700,0
YBST.US,5,20251219,192000,25.2399,25.24,25.225,25.225,500,0
YBST.US,5,20251219,192500,25.24,25.24,25.206,25.206,500,0
YBST.US,5,20251219,193000,25.19,25.24,25.19,25.24,200,0
YBST.US,5,20251219,194000,25.2099,25.21,25.19,25.19,805,0
YBST.US,5,20251219,194500,25.2,25.2,25.1789,25.1789,996,0
YBST.US,5,20251219,195000,25.21,25.21,25.2099,25.2099,400,0
YBST.US,5,20251219,195500,25.22,25.25,25.1945,25.2099,7704,0
YBST.US,5,20251219,200000,25.23,25.23,25.23,25.23,100,0
YBST.US,5,20251219,201000,25.26,25.28,25.2599,25.2799,800,0
YBST.US,5,20251219,201500,25.28,25.28,25.2766,25.2766,600,0
YBST.US,5,20251219,202000,25.28,25.29,25.2799,25.2899,600,0
YBST.US,5,20251219,202500,25.29,25.29,25.29,25.29,100,0
YBST.US,5,20251219,203500,25.2999,25.31,25.2999,25.2999,900,0
YBST.US,5,20251219,204000,25.29,25.29,25.2899,25.2899,400,0
YBST.US,5,20251219,204500,25.2721,25.29,25.2721,25.29,200,0
YBST.US,5,20251219,205000,25.29,25.29,25.265,25.265,200,0
YBST.US,5,20251219,205500,25.2616,25.29,25.2616,25.29,200,0
YBST.US,5,20251219,210000,25.265,25.2684,25.265,25.2684,200,0
YBST.US,5,20251219,210500,25.289,25.289,25.2799,25.2799,500,0
YBST.US,5,20251219,211000,25.27,25.27,25.2699,25.2699,400,0
YBST.US,5,20251219,212000,25.2927,25.31,25.2927,25.3097,900,0
YBST.US,5,20251219,213000,25.31,25.32,25.31,25.32,300,0
YBST.US,5,20251219,214000,25.32,25.35,25.3199,25.3299,1600,0
YBST.US,5,20251219,214500,25.3313,25.34,25.3313,25.34,200,0
YBST.US,5,20251219,215500,25.36,25.36,25.35,25.35,400,0
YBST.US,5,20251222,153000,25.18,25.18,25.0688,25.0688,739,0
YBST.US,5,20251222,153500,25.0982,25.099,25.0982,25.099,1050,0
YBST.US,5,20251222,154500,25.159,25.17,25.159,25.1694,300,0
YBST.US,5,20251222,155500,25.1565,25.1565,25.15,25.15,200,0
YBST.US,5,20251222,160500,25.21,25.21,25.2099,25.2099,200,0
YBST.US,5,20251222,161500,25.2,25.22,25.165,25.21,2497,0
YBST.US,5,20251222,162500,25.19,25.2,25.19,25.1944,850,0
YBST.US,5,20251222,163000,25.19,25.19,25.19,25.19,118,0
YBST.US,5,20251222,163500,25.19,25.19,25.19,25.19,100,0
YBST.US,5,20251222,170000,25.14,25.1593,25.14,25.1593,500,0
YBST.US,5,20251222,173500,25.145,25.145,25.145,25.145,100,0
YBST.US,5,20251222,180500,25.14,25.14,25.14,25.14,100,0
YBST.US,5,20251222,185000,25.12,25.12,25.12,25.12,100,0
YBST.US,5,20251222,191500,25.0487,25.0487,25.0487,25.0487,1000,0
YBST.US,5,20251222,200000,25.056,25.089,25.056,25.089,800,0
YBST.US,5,20251222,201000,25.0352,25.0352,25.03,25.03,200,0
YBST.US,5,20251222,203500,25.09,25.09,25.085,25.085,200,0
YBST.US,5,20251222,210500,25.06,25.08,25.06,25.08,1000,0
YBST.US,5,20251222,214000,25.07,25.07,25.0695,25.0695,200,0
YBST.US,5,20251222,215000,25.0599,25.08,25.0599,25.06,1260,0
YBST.US,5,20251223,153000,24.905,24.905,24.8985,24.8985,400,0
YBST.US,5,20251223,153500,24.84,24.84,24.84,24.84,725,0
YBST.US,5,20251223,154000,24.8851,24.8851,24.75,24.75,639,0
YBST.US,5,20251223,155500,24.85,24.85,24.8495,24.8495,200,0
YBST.US,5,20251223,160500,24.7144,24.7144,24.7144,24.7144,160,0
YBST.US,5,20251223,163000,24.77,24.77,24.77,24.77,100,0
YBST.US,5,20251223,163500,24.84,24.85,24.8351,24.8351,400,0
YBST.US,5,20251223,164000,24.8727,24.8727,24.8727,24.8727,160,0
YBST.US,5,20251223,164500,24.8601,24.8601,24.8194,24.8194,1500,0
YBST.US,5,20251223,172500,24.8216,24.8216,24.73,24.8,3772,0
YBST.US,5,20251223,180500,24.91,24.95,24.9096,24.9096,704,0
YBST.US,5,20251223,182000,24.89,24.89,24.89,24.89,100,0
YBST.US,5,20251223,183500,24.88,24.88,24.8469,24.8469,300,0
YBST.US,5,20251223,184000,24.8312,24.8312,24.8312,24.8312,200,0
YBST.US,5,20251223,191000,24.82,24.82,24.8,24.8,200,0
YBST.US,5,20251223,191500,24.8299,24.8299,24.8299,24.8299,100,0
YBST.US,5,20251223,194000,24.81,24.81,24.81,24.81,100,0
YBST.US,5,20251223,205500,24.83,24.83,24.82,24.82,439,0
YBST.US,5,20251223,213000,24.825,24.825,24.825,24.825,100,0
YBST.US,5,20251223,214000,24.878,24.878,24.878,24.878,100,0
YBST.US,5,20251224,153000,24.86,24.86,24.8595,24.8595,303,0
YBST.US,5,20251224,153500,24.85,24.85,24.68,24.68,1552,0
YBST.US,5,20251224,154000,24.72,24.72,24.72,24.72,100,0
YBST.US,5,20251224,155000,24.6812,24.6812,24.6812,24.6812,100,0
YBST.US,5,20251224,155500,24.6999,24.6999,24.6999,24.6999,160,0
YBST.US,5,20251224,162000,24.72,24.72,24.69,24.69,412,0
YBST.US,5,20251224,163500,24.73,24.73,24.73,24.73,100,0
YBST.US,5,20251224,173000,24.74,24.76,24.74,24.76,200,0
YBST.US,5,20251224,174500,24.7616,24.7616,24.7616,24.7616,200,0
YBST.US,5,20251224,175500,24.77,24.78,24.77,24.78,300,0
YBST.US,5,20251224,180000,24.79,24.79,24.7899,24.7899,200,0
YBST.US,5,20251224,180500,24.82,24.855,24.82,24.85,3200,0
YBST.US,5,20251224,181000,24.85,24.85,24.85,24.85,2000,0
YBST.US,5,20251224,181500,24.86,24.86,24.8599,24.8599,2152,0
YBST.US,5,20251224,182500,24.86,24.86,24.86,24.86,100,0
YBST.US,5,20251224,183500,24.86,24.86,24.8566,24.8566,400,0
YBST.US,5,20251224,184000,24.87,24.87,24.86,24.865,1100,0
YBST.US,5,20251224,184500,24.9,24.9,24.9,24.9,400,0
YBST.US,5,20251224,190000,24.86,24.865,24.86,24.86,3300,0
YBST.US,5,20251226,153000,24.7,24.7022,24.61,24.7022,1200,0
YBST.US,5,20251226,154000,24.61,24.61,24.54,24.54,840,0
YBST.US,5,20251226,154500,24.555,24.564,24.555,24.564,400,0
YBST.US,5,20251226,155000,24.52,24.52,24.5199,24.5199,200,0
YBST.US,5,20251226,155500,24.52,24.53,24.52,24.52,12000,0
YBST.US,5,20251226,161000,24.434,24.45,24.414,24.4262,523,0
YBST.US,5,20251226,161500,24.48,24.48,24.4799,24.4799,200,0
YBST.US,5,20251226,162500,24.4899,24.52,24.4899,24.52,400,0
YBST.US,5,20251226,163000,24.53,24.5399,24.5284,24.5284,3660,0
YBST.US,5,20251226,163500,24.4901,24.4901,24.4901,24.4901,506,0
YBST.US,5,20251226,164500,24.51,24.545,24.51,24.5327,1313,0
YBST.US,5,20251226,165000,24.52,24.5399,24.52,24.5399,436,0
YBST.US,5,20251226,171500,24.5532,24.5532,24.5532,24.5532,500,0
YBST.US,5,20251226,172000,24.56,24.56,24.56,24.56,100,0
YBST.US,5,20251226,173000,24.5697,24.57,24.5697,24.57,342,0
YBST.US,5,20251226,173500,24.59,24.69,24.5899,24.5999,1613,0
